shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
edw_grp_rpt_experience_claim_summary_mv_1_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the PORTAL MATERIALIZED VIEWS used in Web Portal Packages/MV's.
edw_grp_rpt_experience_claim_summary_mv_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the PORTAL MATERIALIZED VIEWS used in Web Portal Packages/MV's.
edw_grp_rpt_experience_premium_summary_mv_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the PORTAL MATERIALIZED VIEWS used in Web Portal Packages/MV's.
edw_grp_rpt_experience_summary_oac_mv_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh RPT_EXPERIENCE_SUMMARY_OAC_MV MV.
edw_grp_rpt_incurred_summary_base_mv_1_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh RPT_INCURRED_SUMMARY_BASE_MV_1 MV.
edw_grp_rpt_incurred_summary_base_mv_2_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh RPT_INCURRED_SUMMARY_BASE_MV_2 MV.
edw_grp_rpt_incurred_summary_base_mv_3_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh RPT_INCURRED_SUMMARY_BASE_MV_3 MV.
edw_grp_rpt_incurred_summary_base_mv_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh RPT_INCURRED_SUMMARY_BASE_MV MV.
edw_grp_ssl_mv_refresh.sh,MV_REFRESH_WITH_TRUNCATE,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the SSL MATERIALIZED VIEWS used in SelfService Packages.
edw_grp_Supplemental_mv_refresh.sh,MV_REFRESH_WITH_TRUNCATE,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the MATERIALIZED VIEWS used in supplemental health report.
edw_grp_truncate_fct_benefit_payment_detail_offset_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,FCT_BENEFIT_PAYMENT_DETAIL_OFFSET_MV_TBL,,,"This shell script truncates and reloads the table fct_benefit_payment_detail_offset_mv_tbl
Change log:"
edw_grp_truncate_load_claim_activity_date_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,CLAIM_ACTIVITY_DATE_MV_TBL,,,"This shell script truncates and reloads the table claim_activity_date_mv_tbl
Change log:"
edw_grp_truncate_load_claim_detail_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,CLAIM_DETAIL_MV_TBL,,,"This shell script truncates and reloads the table claim_detail_mv_tbl
Change log:"
edw_grp_truncate_load_claim_note_tier_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,CLAIM_NOTE_TIER_MV_TBL,,,"This shell script truncates and reloads the table claim_note_tier_mv_tbl
Change log:"
edw_grp_truncate_load_claim_tier_wfam_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,CLAIM_TIER_WFAM_MV_TBL,,,"This shell script truncates and reloads the table CLAIM_TIER_WFAM_MV_TBL
Change log:"
edw_grp_truncate_load_f_policy_specific_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,F_POLICY_SPECIFIC_MV_TBL,,,"This shell script truncates and reloads the table f_psr_claimant_mv_tbl
Change log:"
edw_grp_truncate_load_f_psr_claim_cov_status_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,F_PSR_CLAIM_COV_STATUS_MV_TBL,,,"This shell script truncates and reloads the table f_psr_claim_cov_status_mv_tbl
Change log:"
edw_grp_truncate_load_f_psr_claim_mv_1_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,F_PSR_CLAIM_MV_1_TBL,,,"This shell script truncates and reloads the table f_psr_claim_mv_1_tbl
Change log:"
edw_grp_truncate_load_f_psr_claim_mv_3_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,F_PSR_CLAIM_MV_3_TBL,,,"This shell script truncates and reloads the table f_psr_claim_mv_3_tbl
Change log:"
edw_grp_truncate_load_f_psr_claim_mv_4_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,F_PSR_CLAIM_MV_4_TBL,,,"This shell script truncates and reloads the table f_psr_claim_mv_4_tbl
Change log:"
edw_grp_truncate_load_f_psr_claimant_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,F_PSR_CLAIMANT_MV_TBL,,,"This shell script truncates and reloads the table f_psr_claimant_mv_tbl
Change log:"
edw_grp_truncate_load_fct_benefit_payment_detail_r_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,FCT_BENEFIT_PAYMENT_DETAIL_R_MV_TBL,,,"This shell script truncates and reloads the table fct_benefit_payment_detail_r_mv_tbl
Change log:"
edw_grp_truncate_load_fct_claim_payment_summary_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,FCT_CLAIM_PAYMENT_SUMMARY_MV_TBL,,,This shell script truncates and reloads the table FCT_CLAIM_PAYMENT_SUMMARY_MV_TBL
